gene,logfc,pval_adj,cluster
CUTA,0.5895254,3.7359954888507836e-06,0
RPS9,0.21656004,3.862458476694939e-06,0
NAP1L1,0.51500124,5.829960030424955e-06,0
SBDS,0.98766077,6.239156267929034e-06,0
TRADD,1.2284057,6.427924754563964e-06,0
B2M,0.13861036,7.29259962022656e-06,0
BCL11B,2.403744,7.729630411564019e-06,0
CD247,0.6137781,1.0386956316440498e-05,0
TSTD1,0.87316084,1.4522208059153804e-05,0
CDC42SE2,0.88197035,1.4747136206023083e-05,0
ANXA2R,1.0392644,1.5078341746016308e-05,0
PIM1,1.0150703,1.7410616613155335e-05,0
SKP1,0.5208372,1.7851533751278932e-05,0
PASK,3.4032798,2.0443208560947518e-05,0
PPP2R5C,0.86881703,2.220162605108435e-05,0
NDUFS5,0.5848829,2.264354788955833e-05,0
STK17A,0.67847323,2.3939962496535068e-05,0
STMN3,1.6871533,2.460108206881703e-05,0
SVIP,1.3209547,2.655720348766991e-05,0
CD5,2.6315567,2.818234579951873e-05,0
BTF3,0.29488787,3.163276295004353e-05,0
PIM2,1.2255965,3.247648493512756e-05,0
RP11-664D1.1,4.04567,3.3291858994882064e-05,0
PPP1R2,0.7202705,3.918062936535984e-05,0
ISG20,0.5234094,3.956372913822739e-05,0
TECR,0.8853131,4.27337504546511e-05,0
NELL2,3.1031837,6.078755580958991e-05,0
NUCB2,1.5370507,6.227478470833453e-05,0
PLP2,0.6217774,7.71661901410886e-05,0
CAMK4,1.8238642,8.576104325210697e-05,0
GPR183,1.4011253,0.00010577692115756689,0
ADD3,0.9441484,0.00011693138223556492,0
HLA-A,0.2882954,0.000125841689935185,0
RP11-51J9.5,1.4894898,0.00019286519857835408,0
EPHX2,3.818476,0.000198473471362396,0
MIF,0.50216323,0.00021748606734686807,0
EEF2,0.2752953,0.00023294365520708067,0
TNFRSF4,3.190903,0.0002644690282937946,0
SRSF7,0.46715516,0.00028893321976705656,0
UXT,0.5200597,0.00028893321976705656,0
TMEM204,2.119346,0.00029570337085197703,0
FOXP1,0.9789757,0.0003954063743974904,0
TOMM20,0.6642074,0.00045318498140568434,0
DDX18,0.9438578,0.0005264318492553759,0
CRIP2,2.829025,0.0006491830505217956,0
RWDD1,0.6855911,0.0007357583214726369,0
ILF3-AS1,0.9690873,0.0007427773642254497,0
LINC00861,1.7577188,0.0007510601790808679,0
CISH,2.0920217,0.0007572226317756809,0
RSL1D1,0.5493422,0.0007881813717084531,0
TESPA1,2.2793934,0.0007891912484285516,0
USP10,1.9104543,0.0008339309245514762,0
OPTN,1.0530398,0.000839406747709516,0
CCND3,0.4754853,0.0010594852719179881,0
C9orf78,0.59523296,0.0010594852719179881,0
C14orf64,3.0360537,0.0010729175244304262,0
GATA3,1.905885,0.0011385961938256016,0
CCDC104,2.0110197,0.0011396870357913726,0
UBE2D2,0.46563017,0.0012124020366137938,0
CD96,1.1770973,0.0013929396684197644,0
RIC3,1.4847202,0.001442448301778859,0
EEF1G,0.6745011,0.0016776496227314884,0
HSP90AB1,0.39643458,0.0017828217281963788,0
CITED2,0.71646947,0.0018189646434325873,0
NDNL2,0.9222167,0.0018864852834881505,0
SCGB3A1,3.1124337,0.0019521404220807874,0
DUSP2,0.60807735,0.0021355864329579964,0
HNRNPA0,0.4259623,0.002144324898042388,0
SCML4,1.890886,0.002183799101282228,0
CYLD,1.2701741,0.002209705300944202,0
OST4,0.3733456,0.0023133355416337558,0
ITK,1.8079191,0.0023138549694861105,0
TNFAIP3,0.9262554,0.002388620824083531,0
MYLIP,0.80708843,0.00289215422988859,0
NAP1L4,1.102026,0.0029475303299359296,0
CD8B,1.1668619,0.003052086529550924,0
SEPT9,0.5017913,0.0031395578969004375,0
PCNP,0.6151398,0.0031876437044927384,0
GIMAP1,0.5117712,0.003381045146411414,0
FBLN5,3.515334,0.0038449836611263244,0
EIF3H,0.32673317,0.003964530203526155,0
TBC1D10C,0.5270764,0.004020421352079034,0
DDIT4,0.6926287,0.004313551792960842,0
DENND2D,0.8500437,0.004392738181545698,0
GCC2,1.1462067,0.004403987859556489,0
SORL1,1.0776793,0.004431999870216743,0
FAM102A,1.8284186,0.004609613645869904,0
ETS1,1.255336,0.0046111216294304,0
NMRK1,1.3089364,0.005381257318748644,0
SNHG8,0.6190719,0.005664605445384128,0
BCL2,1.596262,0.005696998964261335,0
ATP6V0E2,1.5193212,0.005747386723131441,0
HSPE1,0.6711404,0.005831393341263108,0
APRT,0.33777377,0.006371195812647174,0
DDX24,0.63724476,0.006387124420407967,0
HNRNPDL,0.31281778,0.006419459093439004,0
SSR2,0.29553697,0.006496592870780359,0
CMTM8,3.6160114,0.006568387541787468,0
APBA2,2.6203873,0.006852988292717462,0
SKAP1,0.8874119,0.0069630357373653,0
TSHZ2,4.343734,0.007674349713653103,0
SF1,0.51628447,0.007675383675864528,0
CHURC1,0.73693645,0.007818339465370952,0
RORA,1.0467037,0.008303037700530215,0
CD44,0.39175653,0.008515399976398502,0
STT3B,0.9822596,0.008528371874193363,0
AC013264.2,3.273537,0.00926517679640573,0
RBL2,0.9974156,0.009616870093748169,0
ANAPC16,0.35664,0.009626626934404013,0
C19orf60,0.5161265,0.0096617138778568,0
CNBP,0.3343655,0.010031797928812857,0
ABHD14B,0.76028794,0.010741482910845233,0
SON,0.49013272,0.011539267846995577,0
GRAP2,0.93615776,0.011912926960138195,0
SUCLG2,0.9513073,0.012005940507444622,0
MFNG,0.79977876,0.012122562104738397,0
CCNL1,0.5417685,0.013703528493203748,0
BIRC3,0.8941901,0.014480045152394976,0
SATB1,1.3476623,0.01611671771620745,0
PNISR,0.41059762,0.016129013304775567,0
EIF4B,0.58233637,0.016305595991961713,0
GTF3A,0.3199519,0.016554557491892056,0
TXK,1.4918681,0.01708436461172245,0
TUBA4A,0.49495107,0.017418733547608464,0
FKBP11,0.81244236,0.018653540081297628,0
YWHAZ,0.39866653,0.01922638789714402,0
SIRPG,1.9504569,0.019480297275910757,0
FUS,0.51821643,0.019480297275910757,0
DNAJB9,0.7961492,0.02025354354090715,0
UBA52,0.15947962,0.02057839851954003,0
CTC-523E23.11,2.1362586,0.02080625974983312,0
RP11-18H21.1,3.296921,0.02154839979513267,0
NDUFA4,0.32627708,0.021808203273699756,0
ADTRP,3.6680603,0.022124153892817033,0
SEPT6,0.60572946,0.023038955452241112,0
PHF1,1.1768414,0.023624597507730508,0
ANP32B,0.34882295,0.023897203401496113,0
CD28,1.8592584,0.02433735018665633,0
CCNG1,0.6989635,0.025753104865178362,0
CCNI,0.2934594,0.026522236438133954,0
UXS1,1.4886421,0.026795651424537235,0
KRT10,0.5066029,0.027314179762680576,0
ZFAS1,0.3079312,0.028780129571117488,0
SSBP1,0.49826473,0.02914056710895322,0
LY9,1.1073179,0.029667997779948815,0
TOB1,0.89336896,0.030063637754608394,0
TNRC6C,2.2978222,0.030158939811788348,0
TBCC,0.78780425,0.031020831803197493,0
TNFRSF25,1.7681364,0.03162626255876223,0
HMOX2,0.6227737,0.03187890232096878,0
CORO1B,0.78708816,0.033407973677936124,0
ATP1A1,0.6272766,0.03346593697567089,0
CDC25B,1.2098144,0.035702391371616196,0
ACTN1,1.3178849,0.03612919660741445,0
NAE1,1.1639072,0.03680003220441573,0
ARL4C,0.54048526,0.03834851339691025,0
TC2N,1.0227404,0.03834851339691025,0
RPL39,0.5127242,0.03849881410656689,0
HSPB1,0.8670079,0.03920490965652229,0
SPCS1,0.35869125,0.040889820139913595,0
MORF4L1,0.3350061,0.042478927916217185,0
SOCS1,1.9578706,0.043098933287431355,0
PSMD5-AS1,0.9380436,0.04453149961774491,0
PRMT10,1.2034602,0.0454975388356799,0
LGALS3BP,1.6794829,0.04734483189987262,0
ATM,0.7449851,0.04756079107781417,0
PCSK1N,3.5233505,0.04781254420692496,0
AKTIP,1.661659,0.04898273129917111,0
ZNF331,0.78472507,0.05008030489796824,0
TCEA3,3.1032984,0.050375282561519706,0
CLEC2D,1.1674315,0.050487026496993596,0
SRP9,0.4154126,0.05051324422220744,0
RP11-796E2.4,0.8126281,0.050542385271967916,0
ARHGEF1,0.5106857,0.05149120385278403,0
FAU,0.07498811,0.05328184080168199,0
IL23A,2.498014,0.05414190261480784,0
LBH,0.6128038,0.05430914110312795,0
TBC1D4,3.3671083,0.05486529467497804,0
CRBN,0.5763142,0.056585277627665555,0
C1QBP,0.35877174,0.05872983615049333,0
SLC38A1,0.8366224,0.060203390655751955,0
IL27RA,0.9963139,0.06145284179343642,0
DAD1,0.35285515,0.06357754042543398,0
ODF2L,0.80040854,0.06505475811924588,0
KLF2,0.2691129,0.06529955195081094,0
SERINC5,2.0502343,0.06759830671826006,0
PNRC1,0.2758575,0.06780795521280344,0
G3BP2,0.65934837,0.0697722816231133,0
RAN,0.288671,0.07105944800043015,0
FAM107B,0.658653,0.07282259135701821,0
PLEKHB1,3.1489093,0.0732746947891168,0
ICOS,3.7732027,0.0755473915498528,0
ARL6IP5,0.33038995,0.07652947553262227,0
PCED1B,1.6231729,0.07808532469601437,0
PRKCH,0.7812184,0.0819511785700033,0
EIF3F,0.24105695,0.08378316016452254,0
NSA2,0.51399577,0.08413130194021462,0
TTC3,0.82304525,0.08415085105079134,0
XXbac-BPG299F13.17,0.7802019,0.08415085105079134,0
NSMCE1,0.59919477,0.08509825314748486,0
ABRACL,0.42232326,0.08657807606928257,0
PTGES3,0.33708957,0.0968859793027076,0
INPP4B,1.4948311,0.09721375347707693,0
PRKCA,2.3624775,0.09738878478293995,0
STAT3,0.60532707,0.09948536336639704,0
TCEAL8,0.701335,0.09956922603088587,0
MRPS21,0.5027482,0.10289794848486067,0
NECAP2,0.54646164,0.10372634416883579,0
LINC00649,1.8609018,0.10487696902204895,0
DGCR6L,0.6017792,0.10760176862532905,0
RP11-291B21.2,3.0152237,0.11072414930173499,0
ASF1A,0.85838455,0.11221794970508087,0
HAPLN3,3.7623692,0.11240400434761255,0
ZNF101,1.57033,0.11240400434761255,0
THYN1,0.6982857,0.11244851684573025,0
CIB1,0.3066468,0.11506324606204962,0
DNAJC19,0.64074886,0.11574372032415572,0
TMEM173,0.7371522,0.12223508788265863,0
RBMX,0.38363567,0.1226852880361982,0
CLPP,0.74749887,0.12346227830570904,0
TPR,0.63888615,0.12377523793696,0
HNRNPF,0.32466337,0.1278391042451094,0
LIMS1,0.65559596,0.1347985465049678,0
LPAR6,1.5441597,0.13860031722341346,0
U2AF1L4,0.9990756,0.13870285513957384,0
YME1L1,0.5841163,0.13896159110445552,0
MPHOSPH8,0.48664916,0.14126236706489226,0
PAG1,1.1355294,0.14425632989561946,0
UBAC2,0.69995,0.14517160857918374,0
GIMAP2,0.52327406,0.14547696492351223,0
TMC8,0.7111129,0.14547696492351223,0
PSMC5,0.384295,0.148289158568605,0
DGKA,1.3147191,0.14871419896316532,0
STK4,0.4909033,0.15104033982557077,0
CDKN1B,0.777288,0.15282095225416656,0
ISCU,0.28047642,0.15934590517743616,0
FRA10AC1,1.5130818,0.16068207365129664,0
MATR3,0.5095346,0.16466639561064927,0
BEX4,0.805911,0.16623844343372374,0
ZNF428,0.6251315,0.16650787146285612,0
HSPD1,0.56678814,0.1677236134260281,0
EIF2S3,0.45473984,0.17100104396247293,0
TMEM14B,0.42523223,0.1794488563435464,0
BCAS2,0.58081603,0.18925386679486497,0
PDCD5,0.5195174,0.1910904261129265,0
IK,0.44533244,0.20077585315024535,0
CCT4,0.464796,0.20077585315024535,0
FGFR1OP2,0.59563607,0.20570083861766705,0
GPR171,1.6258616,0.20592679133428266,0
LETMD1,0.9113148,0.20592679133428266,0
NDUFA12,0.4091821,0.20818553891812042,0
GLOD4,0.70255363,0.2089553508784858,0
TAGAP,0.48147312,0.2089872704865304,0
CNN2,0.30939466,0.2114051142451984,0
EBPL,0.82758236,0.2126212822672238,0
UGP2,0.49852568,0.21301082863917675,0
HMHA1,0.40629873,0.2172710634657935,0
GPR155,2.0312665,0.22047800277157759,0
EPB41L4A-AS1,0.51789236,0.22374671225539355,0
ABHD14A,0.86232674,0.22602962195678028,0
GOLGA7,0.59895444,0.23453740851311308,0
C14orf1,0.774066,0.2352394550217857,0
NSG1,1.3865346,0.2356337697022755,0
ID3,1.2135414,0.2365817914783063,0
MPRIP,1.583487,0.2427347205363511,0
MT-ND2,0.19003096,0.24288796505206334,0
LINS,1.5539747,0.24570090638012065,0
RP11-660L16.2,1.1589993,0.25295551692712814,0
SLFN5,0.9189122,0.25611721417635075,0
DEGS1,0.6754755,0.25863947782086477,0
REXO2,0.73217815,0.25870189562438517,0
LYRM5,1.0651137,0.25989043421214003,0
LSR,1.9794053,0.2637068221742826,0
CCND2,1.2853466,0.26371673151301855,0
SFXN1,2.07065,0.26371673151301855,0
HAX1,0.44604567,0.2647698910327346,0
NUCKS1,0.52377874,0.2670218630230272,0
ZFAND1,0.6793125,0.2670218630230272,0
TMEM63A,1.466771,0.26749596938040404,0
EIF3D,0.26318887,0.2697328268710071,0
UBE2D3,0.21006586,0.2700000933148797,0
RP11-589C21.6,2.1868892,0.2700000933148797,0
SUPT3H,1.5978278,0.27040792828263716,0
COX11,0.68762946,0.2757008556885785,0
FAIM3,0.3778425,0.2852175846207694,0
TOPORS-AS1,1.0341551,0.28741028718185413,0
KHDRBS1,0.38798985,0.2901779130733287,0
AKIRIN1,0.6559544,0.2914907747817606,0
THEMIS,1.2822838,0.2931356831563375,0
HNRNPH3,0.48492163,0.29532448048557325,0
YEATS4,1.1559455,0.2981989910715544,0
EPC1,0.5249594,0.2986809378417717,0
FAM134B,1.9797633,0.3056826643963099,0
CIRBP,0.20366447,0.3080251027056448,0
SEPW1,0.3634183,0.31099992288974887,0
CCDC167,0.81418335,0.3127385992603428,0
TXNIP,0.2019256,0.3246996850382161,0
VIM,0.3367715,0.337842701336218,0
PRPF38B,0.5000741,0.34140922401996165,0
CCSER2,0.92612284,0.3432876343403388,0
DYNLT3,0.74126935,0.34572185342487105,0
TRIM39,1.321197,0.34660666383040345,0
UBASH3A,1.7274905,0.34889065745073455,0
TMEM106B,1.1343632,0.3542466597584,0
SSB,0.3747921,0.35782598193745085,0
RNF139,0.62691885,0.36110743536896833,0
DPH5,0.80784875,0.37036545903640045,0
H1FX,0.45673338,0.3704770516540546,0
THAP7,0.93172276,0.374055695832934,0
SLC2A4RG,1.6117966,0.3839526430930232,0
TMIGD2,1.1883783,0.3839526430930232,0
NIPAL3,1.2808056,0.3844589839006826,0
OBFC1,0.84741664,0.3873647585571513,0
PLK3,0.9738454,0.3886173119347023,0
MAPKAPK5-AS1,0.6539922,0.39150024364057867,0
MAGEH1,1.3790421,0.39634645974728233,0
RPA2,0.4498578,0.4063663976755288,0
ZBTB25,1.4170876,0.4063663976755288,0
LSM14A,0.4782494,0.40766789531131375,0
BLOC1S4,0.47695675,0.41308645782497794,0
SMDT1,0.2608501,0.4136037159880203,0
EML4,0.7691884,0.41619920161857477,0
RP11-1399P15.1,3.6259053,0.41740133958898956,0
ANKH,1.4584273,0.42829215037993107,0
IFRD1,0.46315563,0.4288206251871224,0
EEF1E1,1.0698432,0.4325519904957854,0
MAT2B,0.5048882,0.43346369753896286,0
SNHG9,0.786907,0.43627832579749504,0
XRCC6,0.26631966,0.43781022177718804,0
CNIH1,0.6018727,0.4416703854407699,0
SLC3A2,0.4645694,0.44256330609848415,0
CYTH1,0.48516208,0.44256330609848415,0
PPP1R15A,0.23996747,0.44714287805888225,0
PDCD4,0.43567348,0.44961586232561457,0
UBALD2,0.6693719,0.4526959477980494,0
RBM4,0.6207743,0.45410184602836706,0
RASA3,0.8116296,0.4579706499235575,0
GALT,1.0365721,0.46136655743455596,0
AIMP1,0.73737407,0.46203511233564426,0
UBQLN2,1.0277318,0.4630445738900889,0
RNF138,0.9387306,0.4635406281156831,0
N4BP2L2,0.42239228,0.4812677878247758,0
ORMDL3,0.6340586,0.48373236843022266,0
NMT2,1.2933012,0.486518191663304,0
POLR3GL,0.35626933,0.5026530511540875,0
SIGIRR,0.3524691,0.5067944654861964,0
BNIP3,1.8917614,0.5069805005020255,0
TRAPPC6A,0.36531535,0.5126280044692054,0
NOP58,0.6792203,0.5126280044692054,0
HSD17B8,1.3946824,0.5184806536295856,0
ATP5H,0.24321607,0.5184806536295856,0
TRAM1,0.4072718,0.519865094886675,0
AP3M2,1.8537463,0.5248593506168067,0
MED10,0.31909445,0.526501654645453,0
GSTM3,2.7264228,0.5267262174377764,0
KIAA1551,0.76318455,0.5267262174377764,0
UBE2Q2,1.042169,0.5279519897782873,0
FKBP5,0.8474109,0.5347500289218657,0
DSTN,0.38754827,0.5349886015573213,0
GRAMD1A,0.6298593,0.5349886015573213,0
RP11-143J12.2,1.9098203,0.5548741929814672,0
LINC00402,2.03297,0.5557828679807092,0
CCDC66,1.4141223,0.5561303695451703,0
TSPYL1,0.7348831,0.5567647566708211,0
PRPF6,0.7027299,0.5607802934142216,0
GALM,1.1684427,0.5792832922006043,0
CNOT7,0.55082834,0.5824260745343158,0
LMNA,1.0381949,0.5912238298418226,0
BOLA3,1.1555102,0.6065746019741373,0
BCLAF1,0.63642293,0.6066108367534306,0
PITPNA-AS1,1.2232177,0.6091500217778876,0
C1orf228,0.919348,0.611640208985983,0
EIF3L,0.16665071,0.6157755196858086,0
MEI1,0.76671785,0.6157755196858086,0
SAE1,0.7424246,0.6157755196858086,0
KDSR,1.2166556,0.618326476237191,0
HTATSF1,0.6926278,0.6220444614145372,0
CCT7,0.35805008,0.6220444614145372,0
CHMP7,0.95769584,0.6227940953852895,0
NPM3,0.9588645,0.6267060267992364,0
SLC25A39,0.59431756,0.6267060267992364,0
FNBP1,0.33977175,0.6267060267992364,0
CCT3,0.35356534,0.6305580196384015,0
IMPDH2,0.46792358,0.6395060364864612,0
